0.11447,0.89416,0.17157,-0.64642,-1.0939,-1.5639,1.0031,0.90204,0.09532,0.3046,0.8631,1.1882,0.37426,0.087458,-0.87614
-1.1982,-0.34654,1.2989,0.5806,0.55683,-1.0244,-1.0875,-0.72079,0.42422,-0.44723,1.3269,0.65404,0.89036,0.67785,-0.46415
6.578,-0.61612,-1.4758,0.056942,0.215,0.96114,-0.48902,0.30738,0.66751,0.58831,-0.037717,-0.29251,-0.84212,-0.21813,0.3098
2.4058,0.20642,-0.99746,0.88,0.22195,0.89796,-0.73633,0.14018,1.2877,0.54717,-0.08984,-0.39334,-0.75001,-0.2261,0.45668
0.32606,0.61902,-0.32911,0.67798,0.67716,1.1263,-0.25332,0.065897,0.56177,0.14295,0.051875,-0.32785,-0.81168,-0.11077,0.31698
-0.024761,-0.51992,-1.4122,-2.1745,-3.677,1.5028,-1.7259,-0.7364,0.74048,-0.98686,1.3482,-0.45232,0.36465,0.34696,-0.42042
4.3652,-1.6691,0.53121,-0.31752,0.74881,-0.024063,-0.027355,-0.14587,0.20444,0.2982,0.2063,0.030433,0.64041,-0.17009,0.24779
1.1856,-0.81251,-0.45499,-1.0352,-0.52829,-0.23793,0.40977,-0.92257,0.19346,0.13745,-0.62351,-0.096679,-0.16804,0.60806,0.13326
0.67916,0.1246,-0.26469,-0.73135,0.10995,-0.48502,0.5524,1.6735,-0.18469,0.45369,0.1871,-0.42376,0.37961,0.15442,-1.2904
-4.4446,-2.0714,-1.7645,3.3806,1.0748,-1.6434,-0.24539,0.33765,-0.38872,0.5512,0.75779,-0.93343,0.22124,0.17585,0.4974
3.2581,0.034104,-0.66318,-1.0673,-1.0457,-0.33799,2.2814,0.11047,0.20197,0.21573,-0.48174,-0.30317,-0.26975,0.31002,0.35243
-3.6173,-0.7836,0.70263,0.61825,1.1752,1.3395,-1.2333,0.022874,2.2012,0.13475,0.47506,-1.3341,0.58715,0.25041,0.34074
3.7641,-0.72614,0.10638,-1.2931,0.64806,-1.3918,0.59935,0.36612,0.099268,1.2721,-0.55434,-0.44512,-0.074198,-0.048631,0.63375
2.8402,0.27666,-0.66629,-1.656,-0.86638,0.49217,-0.067129,-0.37234,-0.27254,-0.59958,0.18705,-0.44194,0.33443,0.41491,0.23861
-1.8025,-0.42604,-0.42196,-0.89502,-1.2138,-0.73265,-0.63853,0.21808,1.0463,-0.79368,0.28721,-0.8696,0.41325,-0.1245,-0.72905
-3.6055,0.46698,0.41188,-0.011793,0.39517,-0.57523,0.24829,0.58151,0.18445,-1.2439,-1.1774,0.30738,-0.18492,-0.12092,-0.058615
10.287,-1.4271,-0.13681,0.33977,2.9521,0.38206,-0.080295,0.9789,0.47558,1.3065,-1.6122,0.23163,-0.36773,-1.4642,-0.58318
6.6757,0.40561,-0.13223,-0.37357,-0.74456,0.28625,1.5352,0.24842,-0.28222,-0.40311,0.87669,1.2188,-0.27171,0.015366,0.64421
5.1782,0.20235,-1.0324,-1.3707,-0.65501,-0.93225,-0.04652,0.78743,0.11778,0.91064,-0.18062,-0.25756,-0.67172,-0.19583,0.9211
-0.021,0.77561,-0.06872,-0.92886,-0.50512,-0.063312,0.64421,0.86347,0.26528,0.85331,-0.35734,-0.15746,0.24054,0.54253,-0.17838
6.5964,-1.5269,0.054996,-1.3485,1.8511,-1.5947,-0.69783,0.70652,-0.56772,0.97165,-0.055314,-0.47537,-1.3084,-0.31585,-0.19941
2.0538,-0.85371,-2.2364,-0.46805,-1.4662,-0.096163,-0.14458,-0.29258,-0.7589,-1.04,0.27623,-0.21145,0.43485,0.27292,-0.093832
