0.74841,-0.817,0.20233,0.49082,0.6819,1.0416,0.71414,0.95966,-1.0818,-0.7213,-0.22154,-0.083408,-1.7195,-0.37547,-0.45894,0.75946,-0.61989,-0.65973,0.60646,-0.25191,-0.30797,0.55007,0.46887,-0.20522,-0.113,-0.17416,1.3542,0.56331,0.83172,-0.59756,-0.32419,0.057725,-0.39644,1.5241,-0.38082
0.44586,-0.67517,-0.61909,-0.086754,0.04429,1.0023,0.22861,0.6465,-0.39076,-1.4031,1.3427,-0.60466,0.95914,-0.39301,-0.38231,0.068966,-0.52428,-0.56966,0.88766,-0.29797,-0.24928,-0.10027,-0.13601,-0.31233,-0.28785,0.076588,-0.0074003,-0.46433,-0.3322,-0.54419,-0.96627,0.37682,-0.55583,-0.33211,-0.40904
0.82405,1.4877,1.2119,0.39292,0.28658,0.35434,2.2314,1.586,-0.54546,-0.42912,1.2906,0.87222,0.39808,1.244,1.0846,0.63303,-0.64379,-0.68676,-1.1943,1.5773,1.5407,0.40352,0.31765,1.197,1.3619,0.11034,1.6265,3.0569,2.6899,0.11902,0.4854,3.5388,2.6798,1.0797,1.132
-0.34832,0.53039,0.22858,0.37334,0.21857,0.29544,2.5349,1.7426,-0.50421,-0.7213,1.3427,0.84326,0.32569,0.32612,0.22798,0.59413,-0.64379,-0.68676,-1.1943,0.54424,0.52017,0.36688,0.27985,0.34982,0.40397,0.18749,0.63334,1.6772,1.3933,-0.22402,-0.29627,1.9723,1.1337,0.11233,0.26165
-0.65087,0.14036,-0.25049,0.42229,0.3886,0.41325,1.8066,1.3511,-0.60734,-0.03953,1.2384,0.90118,0.54287,-0.094835,-0.18801,0.69138,-0.64379,-0.68676,-1.1943,0.070495,0.024592,0.45847,0.37436,-0.00073372,0.077065,0.0042578,0.10473,0.36928,0.2957,-0.44509,-0.24044,0.89898,0.48021,-0.35825,-0.12904
1.2779,-0.60425,0.43093,-0.73285,-0.26176,-0.19543,0.98725,0.56821,-1.1643,-1.1109,4.2105,1.6107,-2.1357,-0.63272,-0.59578,-0.3395,-0.61989,-0.56065,-0.81033,-0.54142,-0.50685,-0.2285,-0.59912,-0.6142,-0.56914,-0.50205,0.1688,1.0304,0.78577,-0.63567,-0.57544,6.4977,-0.061717,1.0797,-0.66299
0.5215,0.99134,0.86187,-0.14549,0.035788,0.64886,0.50172,0.60735,-0.16387,-0.52651,0.66488,0.0034675,0.27139,0.82308,0.93405,0.030064,-0.54819,-0.48859,-0.21009,1.0772,1.2896,-0.091106,-0.23997,0.79774,0.87532,0.20678,1.9308,1.1741,1.4494,0.33246,0.17831,1.9433,1.1815,0.96201,0.73917
0.9375,0.74313,0.41233,-0.42938,-0.55081,0.45252,0.77483,0.6465,-0.61766,-0.42912,0.97773,-0.25716,-0.61544,0.13903,0.14587,0.21484,-0.64379,-0.68676,-1.1943,0.33368,0.42236,0.00965,-0.088753,-0.50708,-0.28025,-1.1868,0.93769,0.64954,0.76025,-0.23165,-0.045019,1.6532,0.033917,0.39992,-0.068265
1.2779,-0.74608,0.28764,0.36356,1.3408,0.76667,0.62311,0.84222,-0.83424,-0.52651,-0.22154,0.56816,-0.83263,-0.25854,-0.26737,0.22457,-0.64379,-0.68676,-1.1943,-0.11374,-0.06996,0.01881,-0.079302,0.43745,0.47239,0.255,0.8576,0.62798,0.71941,-0.4146,-0.21252,0.028716,0.24113,0.84436,-0.15291
-1.4829,-0.817,-1.1933,-1.7412,0.018785,3.3192,1.4728,2.6038,-0.958,-1.5979,-0.7951,0.14826,1.6831,-0.98352,-0.99261,-1.633,-0.64379,-0.68676,-1.1943,-0.92962,-0.93396,-1.7307,-1.8845,-0.80895,-0.83523,-0.10665,-0.76027,-0.95299,-0.91927,-0.78051,-1.0221,-0.6675,-1.0021,-1.2079,-0.96903
